poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2012-rhode-island-president-romney-vs-obama,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,2012,rhode-island,Other,NA
2012-rhode-island-president-romney-vs-obama,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,2012,rhode-island,Undecided,10
2012-rhode-island-president-romney-vs-obama,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,2012,rhode-island,Obama,57
2012-rhode-island-president-romney-vs-obama,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,2012,rhode-island,Romney,33
2012-rhode-island-president-romney-vs-obama,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,2012,rhode-island,Other,NA
2012-rhode-island-president-romney-vs-obama,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,2012,rhode-island,Undecided,7
2012-rhode-island-president-romney-vs-obama,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem,2012,rhode-island,Obama,54
2012-rhode-island-president-romney-vs-obama,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem,2012,rhode-island,Romney,37
2012-rhode-island-president-romney-vs-obama,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem,2012,rhode-island,Other,NA
2012-rhode-island-president-romney-vs-obama,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem,2012,rhode-island,Undecided,10
2012-kentucky-president-romney-vs-obama,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None,2012,kentucky,Obama,39
2012-kentucky-president-romney-vs-obama,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None,2012,kentucky,Romney,53
2012-kentucky-president-romney-vs-obama,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None,2012,kentucky,Other,3
2012-kentucky-president-romney-vs-obama,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None,2012,kentucky,Undecided,5
2012-kentucky-president-romney-vs-obama,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,2012,kentucky,Obama,40
